Level	Rule Name	Subject	Property	Value
WARN	missing_definition	American English Coonhound	IAO:0000115	
WARN	missing_definition	Danish-Swedish farmdog	IAO:0000115	
WARN	missing_definition	Ural Rex	IAO:0000115	
WARN	missing_definition	Domestic medium-haired	IAO:0000115	
WARN	missing_definition	Hungarian pumi	IAO:0000115	
WARN	missing_definition	Hungarian mudi	IAO:0000115	
WARN	missing_definition	Lykoi	IAO:0000115	
WARN	missing_definition	White Leghorn	IAO:0000115	
WARN	missing_definition	Munchkin	IAO:0000115	
WARN	missing_definition	Swiss Large White	IAO:0000115	
WARN	missing_definition	Australian Labradoodle	IAO:0000115	
WARN	missing_definition	Zwartbles	IAO:0000115	
WARN	missing_definition	Berber	IAO:0000115	
WARN	missing_definition	Dutch Shepherd dog	IAO:0000115	
WARN	missing_definition	Belgian Blue�ېHolstein cross	IAO:0000115	
WARN	missing_definition	Yimeng	IAO:0000115	
WARN	missing_definition	Yucatan miniature pig	IAO:0000115	
WARN	missing_definition	Mangalitza	IAO:0000115	
WARN	missing_definition	Black Minorca	IAO:0000115	
WARN	missing_definition	South Devon	IAO:0000115	
WARN	missing_definition	Bonsmara	IAO:0000115	
WARN	missing_definition	Santa Gertrudis	IAO:0000115	
WARN	missing_definition	Nguni	IAO:0000115	
WARN	missing_definition	Meuse Rhine Yssel	IAO:0000115	
WARN	missing_definition	Tsigai	IAO:0000115	
WARN	missing_definition	Suffolk	IAO:0000115	
WARN	missing_definition	Targhee	IAO:0000115	
WARN	missing_definition	St Croix	IAO:0000115	
WARN	missing_definition	Barbados	IAO:0000115	
WARN	missing_definition	White British	IAO:0000115	
WARN	missing_definition	Black Pied Danish	IAO:0000115	
WARN	missing_definition	collie	IAO:0000115	
WARN	missing_definition	Greenleg	IAO:0000115	
WARN	missing_definition	Swedish Red and White 	IAO:0000115	
WARN	missing_definition	Standardbred	IAO:0000115	
WARN	missing_definition	Quarter	IAO:0000115	
WARN	missing_definition	Arabian	IAO:0000115	
WARN	missing_definition	Percheron	IAO:0000115	
WARN	missing_definition	Clydesdale	IAO:0000115	
WARN	missing_definition	Texel	IAO:0000115	
WARN	missing_definition	Leicester	IAO:0000115	
WARN	missing_definition	Oxforddown	IAO:0000115	
WARN	missing_definition	Siberian Husky	IAO:0000115	
WARN	missing_definition	Shropshire	IAO:0000115	
WARN	missing_definition	Marsh	IAO:0000115	
WARN	missing_definition	Spotted Mountain	IAO:0000115	
WARN	missing_definition	Brown German	IAO:0000115	
WARN	missing_definition	Yellow Hill	IAO:0000115	
WARN	missing_definition	Pinzgau	IAO:0000115	
WARN	missing_definition	Welsh	IAO:0000115	
WARN	missing_definition	Wessex	IAO:0000115	
WARN	missing_definition	Coopworth	IAO:0000115	
WARN	missing_definition	Saint Bernard	IAO:0000115	
WARN	missing_definition	Belgian	IAO:0000115	
WARN	missing_definition	Dachshund	IAO:0000115	
WARN	missing_definition	Banteng (Bali)	IAO:0000115	
WARN	missing_definition	Lacombe	IAO:0000115	
WARN	missing_definition	Shortcoated Setter	IAO:0000115	
WARN	missing_definition	Cavalier King Charles Spaniel	IAO:0000115	
