defined_class	defined_class_label	taxon	lbo_id	venom_code	fci_id
ID	LABEL	SC 'in taxon' some %	A http://purl.obolibrary.org/obo/omia#lbo_id	A http://purl.obolibrary.org/obo/omia#venom_code	A http://purl.obolibrary.org/obo/omia#fci_id
OMIA:926	Eurasier	NCBITaxon:9615		13997	
OMIA:379	Norwegian Elkhound	NCBITaxon:9615		13994	
OMIA:350	Elkhound	NCBITaxon:9615		13993	
OMIA:1154	Danish-Swedish farmdog	NCBITaxon:9615		13964	
OMIA:179	Dalmatian	NCBITaxon:9615		13962	
OMIA:10	Wire-haired dachshund	NCBITaxon:9615		13961	
OMIA:842	Standard wire-haired dachshund	NCBITaxon:9615		13961	
OMIA:964	Miniature Wirehaired Dachshund	NCBITaxon:9615		13957	
OMIA:839	Miniature Long-haired Dachsund	NCBITaxon:9615		13955	
OMIA:150	Dachshund	NCBITaxon:9615		13952	
OMIA:1100	Alpine Dachsbracke	NCBITaxon:9615		13928	
OMIA:949	Alpenl�_ndische Dachsbracke	NCBITaxon:9615		13928	
OMIA:910	Catahoula leopard dogs	NCBITaxon:9615		13919	
OMIA:815	Mixed breed	NCBITaxon:9615		13916	
OMIA:821	Mixed breed	NCBITaxon:9615		13916	
OMIA:835	Mongrel	NCBITaxon:9615		13916	
OMIA:816	Coton de Tulear	NCBITaxon:9615		13914	
OMIA:274	Walker Hound	NCBITaxon:9615		13913	
OMIA:602	Bluetick Hound	NCBITaxon:9615		13889	
OMIA:1153	American English Coonhound	NCBITaxon:9615		13887	
OMIA:327	Border Collie	NCBITaxon:9615		13883	
OMIA:430	Bearded Collie	NCBITaxon:9615		13882	
OMIA:13	collie	NCBITaxon:9615		13879	
OMIA:80	Collie	NCBITaxon:9615		13879	
OMIA:809	Collie 	NCBITaxon:9615		13879	
OMIA:307	Chow Chow	NCBITaxon:9615		13876	
OMIA:573	Chow	NCBITaxon:9615		13876	
OMIA:381	Chinese Shar-Pei	NCBITaxon:9615		13873	
OMIA:957	Shar-Pei	NCBITaxon:9615		13873	
OMIA:305	Australian Cattle Dog	NCBITaxon:9615		13833	
OMIA:1091	French Bulldog	NCBITaxon:9615		13768	
OMIA:769	French bull dog	NCBITaxon:9615		13768	
OMIA:240	English Bulldog	NCBITaxon:9615		13765	
OMIA:806	American Bulldog	NCBITaxon:9615		13761	
OMIA:265	Bulldog	NCBITaxon:9615		13759	
